DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3272;P3273S1;P3273S2;P3273S4;P3273S5;P3273S6;P3274;P3275S1;P3275S2;P3275S4;P3275S5;P3275S6;P3275S7;P3275S8;P3275S9;P3275S10;P3276;P3277S1;P3277S2;P3277S3;P3277S4;P3277S5;P3277S6;P3277S7;P3277S8;P3277S9;P3277S10;P3277S11;P3277S12;P3277S13;P3278;P3279S1;P3279S2;P3279S3;P3279S4;P3279S5;P3279S6;P3280S1;P3280S2;P3280S3;P3280S4;P3280S5;P3280S6;P3280S7;P3280S8;P3280S9;P3280S10;P3280S11;P3281;P3282;P3283S1;P3283S2;P3283S3;P3283S4;P3283S5;P3283S6;P3283S7;P3283S8;P3283S9;P3283S10;P3283S11;P3283S12;P3283S13;P3284S1;P3284S2;P3284S3;P3284S4;P3284S5;P3285;P3286;P3287S1;P3287S2;P3287S3;P3287S4;P3504;P3288;P3289;P3290;P3291;P3291S1;P3292S1;P3292S2;P3292S3;P3292S4;P3292S5;P3292S6;P3292S7;P3292S8;P3292S9;P3292S10;P3292S11;P3293S1;P3293S2;P3293S3;P3293S4;P3293S5;P3293S6;P3293S7;P3293S8;P3293S9;P3294S1;P3294S2;P3294S3;P3294S4;P3294S5;P3294S6;P3294S7;P3294S8;P3294S9;P3294S10;P3294S11;P3294S12;P3295;P3296;P3297;P3298;P3299;P3300;P3301
601412;237;3;1;3;75.520659973;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;3;2;;;1;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;2;;2;;;;;;3
601429;237;1;1;1;70.298391916;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;2;2;;;;;;;;;;;;2;;;;;;1;;;;;;1;;;;;;;;;;;2;;;;;;8
601493;237;1;1;1;99.109743647;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
601493;237;3;1;3;99.109743647;2;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
601617;237;1;1;1;639.53618508;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;2;1;500000;500000;1;1;;1;;;;;;;;;1;;;;;;;;;1;;;;1;;;;;;;2;;;;;;3
601618;237;2;1;2;728.84370718;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;;1;1;;1;1;;;;1;;;;;;;9;;;;;;;;3;1;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
601618;237;3;1;3;728.84370718;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;1;;;;;;;;;;;;;;1;;;;;;;;;;3;4;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;1;;;;;;;;2;;;;;;6
601620;237;3;1;3;1010.0693781;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;2;;;1;;;;;;;;;;6;4;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;10
601629;237;3;1;3;451.94914284;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;1;;;;;;;;;;;1;;;;;;;;;;;6;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;10
601635;237;2;1;2;348.45083518;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;7;2;;7000000;7000000;;;1;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;2;;;;;;1
601637;237;3;1;3;391.66733473;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;6;2;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2;;2;;;;;;6
601640;237;2;1;2;397.37811865;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;6
601644;237;1;1;1;663.22892083;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;11;7;;800000;800000;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;9;2;;;;;;3
601651;237;3;1;3;553.93137464;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;1;4;;3;;;
601679;237;3;1;3;731.62325554;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;9;1;4;;3;;;
